Area,Price per Month,Address,City,Price,Name,contact_details
"2,730 ft²",Contact,Building C - 4607 Calgary Trail Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783625/ab/edmonton/for-lease/retail/building_c-4607_calgary_trail_northwest
"9,625 ft²",Contact,Building B - 4607 Calgary Trail Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783622/ab/edmonton/for-lease/retail/building_b-4607_calgary_trail_northwest
"2,060 ft²",Contact,Building D - 4607 Calgary Trail Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783626/ab/edmonton/for-lease/retail/building_d-4607_calgary_trail_northwest
"1,210 ft²","$3,024/mo",Unit 7445 - 7415 Roper Road Northwest,"Edmonton, AB","$30.00/sf/yr$3,024/mo",Chad Snow,https://www.spacelist.ca/listings/716135/ab/edmonton/for-lease/retail/unit_7445-7415_roper_road_northwest
"1,075 ft²",Contact,8015 102 Street Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/307338/ab/edmonton/for-lease/retail/8015_102_street_northwest
"4,785 ft²","$12,360/mo",12405 107 Ave,"Edmonton, AB","$31.00/sf/yr$12,360/mo",Chad Snow,https://www.spacelist.ca/listings/805589/ab/edmonton/for-lease/retail/12405_107_ave
"3,833-16,868 ft²","$3,513-15,462/mo",Unit #100 - 11507 120 Street Northwest,"Edmonton, AB","$11.00/sf/yr$3,513-15,462/mo",Chad Snow,https://www.spacelist.ca/listings/661218/ab/edmonton/for-lease/office-retail-industrial/unit_100-11507_120_street_northwest
"1,526 ft²",Contact,10117 82 Avenue NW,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/734119/ab/edmonton/for-lease/retail/10117_82_avenue_nw
"2,358 ft²","$3,242/mo",10764 101 Street Northwest,"Edmonton, AB","$16.50/sf/yr$3,242/mo",Tom Dean,https://www.spacelist.ca/listings/781103/ab/edmonton/for-lease/office-retail/10764_101_street_northwest
"1,200-3,185 ft²","$2,035-5,401/mo",15 - 16604 109 Ave NW,"Edmonton, AB","$20.35/sf/yr$2,035-5,401/mo",Chad Snow,https://www.spacelist.ca/listings/809224/ab/edmonton/for-lease/retail/15-16604_109_ave_nw
780 ft²,"$1,787/mo",5530 - 5530 Calgary Trail Northwest,"Edmonton, AB","$27.50/sf/yr$1,787/mo",Chad Snow,https://www.spacelist.ca/listings/815692/ab/edmonton/for-lease/retail/5530-5530_calgary_trail_northwest
"9,900 ft²",Not available,7301 77 Avenue Northwest,"Edmonton, AB","$1,990,000",Tom Dean,https://www.spacelist.ca/listings/793023/ab/edmonton/for-sale/office-retail-medical/7301_77_avenue_northwest
"1,200-1,787 ft²",Contact,8927 82 Avenue Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/331935/ab/edmonton/for-lease/retail/8927_82_avenue_northwest
"2,627-9,900 ft²","$4,454-16,788/mo",4/5/6 - 16604 109 Ave NW,"Edmonton, AB","$20.35/sf/yr$4,454-16,788/mo",Chad Snow,https://www.spacelist.ca/listings/809222/ab/edmonton/for-lease/retail/456-16604_109_ave_nw
"4,269 ft²","$7,239/mo",8/9 - 16604 109 Ave NW,"Edmonton, AB","$20.35/sf/yr$7,239/mo",Chad Snow,https://www.spacelist.ca/listings/809223/ab/edmonton/for-lease/retail/89-16604_109_ave_nw
"7,776 ft²",Contact,Building B - 17004 107 Avenue Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783186/ab/edmonton/for-lease/retail/building_b-17004_107_avenue_northwest
"2,400 ft²",Contact,Building C - 17004 107 Avenue Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783619/ab/edmonton/for-lease/retail/building_c-17004_107_avenue_northwest
"19,000 ft²",Contact,Building A - 17004 107 Avenue Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783187/ab/edmonton/for-lease/retail/building_a-17004_107_avenue_northwest
"1,050 ft²",Not available,10112 80 Avenue Northwest,"Edmonton, AB","$399,000",Tyler Weiman,https://www.spacelist.ca/listings/803698/ab/edmonton/for-sale/retail-other/10112_80_avenue_northwest
"3,945 ft²",Contact,8625 112 Street Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/367782/ab/edmonton/for-lease/office-retail-medical/8625_112_street_northwest
"1,000-7,500 ft²",Contact,10700 109 Street Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/538353/ab/edmonton/for-lease/office-retail-medical/10700_109_street_northwest
"2,304 ft²","$3,872/mo",4363 - 4363 99 Street Northwest,"Edmonton, AB","$20.17/sf/yr$3,872/mo",Chad Snow,https://www.spacelist.ca/listings/805735/ab/edmonton/for-lease/office-retail-industrial/4363-4363_99_street_northwest
"13,035-16,868 ft²","$11,948-15,462/mo",11507 - 11507 120 Street Northwest,"Edmonton, AB","$11.00/sf/yr$11,948-15,462/mo",Chad Snow,https://www.spacelist.ca/listings/765496/ab/edmonton/for-lease/office-retail-industrial/11507-11507_120_street_northwest
"3,750 ft²","$4,375/mo",10575 111 Street Northwest,"Edmonton, AB","$14.00/sf/yr$4,375/mo",Richard Lizotte,https://www.spacelist.ca/listings/812599/ab/edmonton/for-lease/office-retail-industrial/10575_111_street_northwest
500 ft²,"$1,750/mo",8603 118 Avenue Northwest,"Edmonton, AB","$42.00/sf/yr$1,750/mo",Tyler Weiman,https://www.spacelist.ca/listings/772453/ab/edmonton/for-lease/office-retail-medical/8603_118_avenue_northwest
"1,123 ft²","$2,994/mo",104 - 12133 97 Street Northwest,"Edmonton, AB","$32.00/sf/yr$2,994/mo",Ian S Fletcher,https://www.spacelist.ca/listings/812561/ab/edmonton/for-lease/retail/104-12133_97_street_northwest
"2,000-4,294 ft²",Contact,6139 101 Ave NW,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/590901/ab/edmonton/for-lease/retail/6139_101_ave_nw
"2,500-9,900 ft²",Contact,7301 77 Avenue Northwest,"Edmonton, AB",ContactContact,Tom Dean,https://www.spacelist.ca/listings/720033/ab/edmonton/for-lease/office-retail-medical/7301_77_avenue_northwest
"1,920 ft²","$8,000/mo",640 - 640 Manning Crossing Northwest,"Edmonton, AB","$50.00/sf/yr$8,000/mo",Don Robinson,https://www.spacelist.ca/listings/810958/ab/edmonton/for-lease/retail-industrial/640-640_manning_crossing_northwest
"3,089-3,539 ft²",Contact,12720 66 Street Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/539494/ab/edmonton/for-lease/office-retail-medical/12720_66_street_northwest
"990-9,000 ft²",Contact,Building C - 5008 97 Street Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/804024/ab/edmonton/for-lease/retail/building_c-5008_97_street_northwest
"990-4,500 ft²",Contact,Building B - 5008 97 Street Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/804022/ab/edmonton/for-lease/retail/building_b-5008_97_street_northwest
"2,800 ft²",Contact,Building A - 5008 97 Street Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/804023/ab/edmonton/for-lease/retail/building_a-5008_97_street_northwest
"2,400 ft²",Contact,Building D - 5008 97 Street Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/804025/ab/edmonton/for-lease/retail/building_d-5008_97_street_northwest
"20,919 ft²",Contact,10531 51 Avenue Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/518765/ab/edmonton/for-lease/retail/10531_51_avenue_northwest
"2,000 ft²","$5,166/mo",9939 - 9939 63 Avenue Northwest,"Edmonton, AB","$31.00/sf/yr$5,166/mo",Don Robinson,https://www.spacelist.ca/listings/798664/ab/edmonton/for-lease/retail/9939-9939_63_avenue_northwest
"1,216 ft²","$4,053/mo",9941 - 9941 63 Avenue Northwest,"Edmonton, AB","$40.00/sf/yr$4,053/mo",Don Robinson,https://www.spacelist.ca/listings/813295/ab/edmonton/for-lease/retail/9941-9941_63_avenue_northwest
"9,380 ft²",Contact,3503 99 St NW,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/470377/ab/edmonton/for-lease/retail/3503_99_st_nw
"460-1,900 ft²",Contact,150 - 12406 112 Ave NW,"Edmonton, AB",ContactContact,Jennifer Clark,https://www.spacelist.ca/listings/783777/ab/edmonton/for-lease/office-retail/150-12406_112_ave_nw
"7,500 ft²",Not available,10024 116 Street Northwest,"Edmonton, AB","$1,400,000",Richard Lizotte,https://www.spacelist.ca/listings/787749/ab/edmonton/for-sale/retail-land-multifamily/10024_116_street_northwest
"2,385 ft²","$2,782/mo",9205 63 Avenue Northwest,"Edmonton, AB","$14.00/sf/yr$2,782/mo",Tom Dean,https://www.spacelist.ca/listings/812647/ab/edmonton/for-lease/office-retail-industrial/9205_63_avenue_northwest
"1,290 ft²","$4,515/mo",6715 - 6715 177 Street Northwest,"Edmonton, AB","$42.00/sf/yr$4,515/mo",Don Robinson,https://www.spacelist.ca/listings/811429/ab/edmonton/for-lease/office-retail/6715-6715_177_street_northwest
"2,400 ft²",Contact,4921 99 Street Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/645491/ab/edmonton/for-lease/retail/4921_99_street_northwest
"1,503 ft²","$2,505/mo",15159 121 Street Northwest,"Edmonton, AB","$20.00/sf/yr$2,505/mo",Noah Issa,https://www.spacelist.ca/listings/799608/ab/edmonton/for-lease/retail/15159_121_street_northwest
"2,200 ft²","$3,666/mo",10459 124 Street,"Edmonton, AB","$20.00/sf/yr$3,666/mo",Richard Lizotte,https://www.spacelist.ca/listings/347268/ab/edmonton/for-lease/retail/10459_124_street
"2,776 ft²","$3,600/mo",15341 105 Avenue Northwest,"Edmonton, AB","$15.56/sf/yr$3,600/mo",Tom Dean,https://www.spacelist.ca/listings/810029/ab/edmonton/for-lease/office-retail/15341_105_avenue_northwest
800 ft²,Not available,9206 111 Avenue Northwest,"Edmonton, AB","$275,000",Noah Issa,https://www.spacelist.ca/listings/808330/ab/edmonton/for-sale/retail/9206_111_avenue_northwest
